Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
Rodrigo Mendoza,es ESP,MF,21-041,,6,345,3.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches,2025-2026,Atletico Madrid,6
Juan Musso,ar ARG,GK,31-354,,5,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,5
Ademola Lookman,ng NGA,"FW,MF",28-187,,5,355,3.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.51,0.0,0.51,0.51,0.51,Matches,2025-2026,Atletico Madrid,8
Conor Gallagher,eng ENG,MF,26-078,,4,679,7.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,2025-2026,Atletico Madrid,19
Obed Vargas,mx MEX,MF,20-263,,4,369,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,6
Julio Diaz,es ESP,DF,21-105,,3,220,2.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.41,0.41,0.0,0.41,Matches,2025-2026,Atletico Madrid,3
Javier Boñar,es ESP,DF,20-326,,2,180,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,Matches,2025-2026,Atletico Madrid,2
Giacomo Raspadori,it ITA,FW,26-066,,1,236,2.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.38,0.0,0.38,Matches,2025-2026,Atletico Madrid,12
Javi Galán,es ESP,DF,31-157,,1,134,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,5
Daniel Martinez,es ESP,DF,21-355,,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,1
Rayane Belaid,es ESP,MF,21-073,,1,70,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,1
Javi Morcillo,es ESP,MF,20-041,,0,50,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,2
Jano Monserrate,es ESP,MF,20-087,,0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,2
Taufik Seidu,es ESP,MF,18-095,,0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,1
Miguel Cubo,es ESP,FW,18-076,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Salvi Esquivel,es ESP,GK,20-207,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Sergio Esteban,es ESP,FW,19-036,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Ilias Kostis,gr GRE,DF,23-057,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Mario de Luis,es ESP,GK,23-324,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Iker Luque,es ESP,DF,20-324,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Carlos Martín,es ESP,"FW,MF",24-003,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Alvaro Moreno,es ESP,GK,19-324,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Aleksa Puric,rs SRB,DF,22-292,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Javier Serrano,es ESP,MF,23-099,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
Gerónimo Spina,ar ARG,DF,21-075,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Atletico Madrid,0
