Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
Dario Essugo,pt POR,MF,19.0,27.0,25,"1,938",21.5,1.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,0.05,0.0,0.05,0.05,0.05,Matches,2024-2025,UD Las Palmas,27
Viti,es ESP,DF,26.0,29.0,23,"1,982",22.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2024-2025,UD Las Palmas,29
Fábio Silva,pt POR,FW,22.0,24.0,22,"1,866",20.7,10.0,3.0,13.0,8.0,2.0,3.0,7.0,0.0,0.48,0.14,0.63,0.39,0.53,Matches,2024-2025,UD Las Palmas,24
Kirian Rodríguez,es ESP,MF,28.0,21.0,21,"1,758",19.5,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,2024-2025,UD Las Palmas,21
Oliver McBurnie,sct SCO,FW,28.0,34.0,20,"1,837",20.4,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,0.15,0.29,0.44,0.15,0.44,Matches,2024-2025,UD Las Palmas,34
Álex Muñoz,es ESP,DF,30.0,21.0,18,"1,415",15.7,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,2024-2025,UD Las Palmas,21
Juanma Herzog,es ESP,DF,20.0,19.0,15,"1,315",14.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,19
José Campaña,es ESP,MF,31.0,25.0,15,"1,189",13.2,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,2024-2025,UD Las Palmas,25
Stefan Bajcetic,es ESP,"MF,DF",19.0,14.0,12,969,10.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2024-2025,UD Las Palmas,14
Dinko Horkaš,hr CRO,GK,25.0,13.0,11,"1,085",12.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,13
Marvin,es ESP,"DF,MF",24.0,23.0,9,"1,038",11.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,23
Manuel Fuster,es ESP,"MF,FW",26.0,28.0,8,"1,003",11.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.18,0.09,0.27,0.18,0.27,Matches,2024-2025,UD Las Palmas,28
Enzo Loiodice,fr FRA,MF,23.0,17.0,7,684,7.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,17
Adnan Januzaj,be BEL,"MF,FW",29.0,18.0,5,598,6.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.3,0.15,0.45,0.3,0.45,Matches,2024-2025,UD Las Palmas,18
Jaime Mata,es ESP,"MF,FW",35.0,30.0,4,656,7.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,30
Benito Ramírez,es ESP,"MF,DF",29.0,19.0,2,478,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,19
Andy Pelmard,mg MAD,DF,24.0,4.0,2,205,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,4
Sergio Viera,es ESP,MF,19.0,2.0,1,96,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,2
Daley Sinkgraven,nl NED,DF,29.0,2.0,1,91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,2
Marc Cardona,es ESP,FW,29.0,11.0,0,132,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,11
Fabio González,es ESP,MF,27.0,2.0,0,53,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,2
Diego Martín,es ESP,FW,20.0,2.0,0,40,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,2
Arturo Rodríguez,es ESP,FW,17.0,1.0,0,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,1
Pejiño,es ESP,MF,28.0,1.0,0,16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,1
José Carlos González,es ESP,MF,18.0,1.0,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,1
Valentín Pezzolesi,es ESP,DF,17.0,1.0,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,1
Aboubacar Bassinga,ci CIV,MF,19.0,1.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,UD Las Palmas,1
Iván Gil,es ESP,MF,24.0,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,UD Las Palmas,0
Álvaro Killane,es ESP,GK,19.0,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,UD Las Palmas,0
Israel Mora,,,,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,UD Las Palmas,0
Víctor Puig,es ESP,GK,24.0,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,UD Las Palmas,0
Elías Romero,es ESP,FW,20.0,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,UD Las Palmas,0
Sergio Ruiz,es ESP,FW,18.0,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,UD Las Palmas,0
Sergi,es ESP,DF,32,36.0,33,"2,957",32.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2024-2025,CD Leganes,36
Marko Dmitrović,rs SRB,GK,32,32.0,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CD Leganes,32
Seydouba Cissé,gn GUI,MF,23,34.0,31,"2,435",27.1,3.0,1.0,4.0,3.0,0.0,0.0,3.0,1.0,0.11,0.04,0.15,0.11,0.15,Matches,2024-2025,CD Leganes,34
Valentin Rosier,fr FRA,DF,27,32.0,28,"2,595",28.8,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,2024-2025,CD Leganes,32
Renato Tapia,pe PER,"MF,DF",29,34.0,28,"2,424",26.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2024-2025,CD Leganes,34
Javi Hernández,es ESP,DF,26,31.0,27,"2,389",26.5,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.08,0.04,0.11,0.08,0.11,Matches,2024-2025,CD Leganes,31
Yvan Neyou,cm CMR,MF,27,30.0,27,"2,312",25.7,1.0,1.0,2.0,1.0,0.0,0.0,14.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,2024-2025,CD Leganes,30
Juan Cruz,es ESP,"MF,DF",24,34.0,26,"2,257",25.1,5.0,4.0,9.0,5.0,0.0,0.0,2.0,0.0,0.2,0.16,0.36,0.2,0.36,Matches,2024-2025,CD Leganes,34
Matija Nastasić,rs SRB,DF,31,26.0,24,"2,110",23.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2024-2025,CD Leganes,26
Dani Raba,es ESP,"MF,FW",28,29.0,24,"1,879",20.9,8.0,6.0,14.0,4.0,4.0,5.0,6.0,0.0,0.38,0.29,0.67,0.19,0.48,Matches,2024-2025,CD Leganes,29
Jorge Sáenz,es ESP,DF,27,23.0,19,"1,690",18.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches,2024-2025,CD Leganes,23
Adrià Altimira,es ESP,"DF,MF",23,22.0,19,"1,630",18.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CD Leganes,22
Miguel,es ESP,FW,24,34.0,17,"1,724",19.2,1.0,3.0,4.0,0.0,1.0,2.0,3.0,0.0,0.05,0.16,0.21,0.0,0.16,Matches,2024-2025,CD Leganes,34
Darko Brašanac,rs SRB,MF,32,30.0,15,"1,617",18.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.06,0.11,0.17,0.06,0.17,Matches,2024-2025,CD Leganes,30
Diego,es ESP,"FW,MF",24,28.0,13,"1,195",13.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,2024-2025,CD Leganes,28
Óscar Rodríguez Arnaiz,es ESP,MF,26,29.0,12,"1,330",14.8,1.0,4.0,5.0,1.0,0.0,0.0,6.0,1.0,0.07,0.27,0.34,0.07,0.34,Matches,2024-2025,CD Leganes,29
Munir El Haddadi,ma MAR,"MF,FW",28,25.0,10,862,9.6,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.42,0.0,0.42,0.42,0.42,Matches,2024-2025,CD Leganes,25
Enric Franquesa,es ESP,"MF,DF",27,12.0,7,616,6.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,2024-2025,CD Leganes,12
Yan Diomandé,ci CIV,MF,17,10.0,6,545,6.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.33,0.17,0.5,0.33,0.5,Matches,2024-2025,CD Leganes,10
Juan Soriano,es ESP,GK,26,6.0,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CD Leganes,6
Sébastien Haller,ci CIV,FW,30,8.0,5,404,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CD Leganes,8
Roberto López,es ESP,MF,24,13.0,3,396,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,2024-2025,CD Leganes,13
Julián Chicco,ar ARG,"MF,DF",26,14.0,2,302,3.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches,2024-2025,CD Leganes,14
Aritz Arambarri,es ESP,DF,26,2.0,2,177,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CD Leganes,2
Duk,cv CPV,MF,24,10.0,1,179,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CD Leganes,10
Borna Barišić,hr CRO,DF,31,1.0,1,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CD Leganes,1
Álvaro Abajas,es ESP,GK,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
Lalo Aguilar,es ESP,DF,22,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
Iker Bachiller,es ESP,DF,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
Naim García,es ESP,MF,22,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
Álex Gil,es ESP,MF,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
Carlos Guirao,es ESP,MF,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
Jackson Porozo,ec ECU,DF,23,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
Guillermo Ruiz,es ESP,GK,20,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
Hugo Solozabal,es ESP,MF,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
João Urbáez,do DOM,DF,22,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CD Leganes,0
Antonio Raillo,es ESP,DF,32,36.0,36,"3,207",35.6,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2024-2025,RCD Mallorca,36
Sergi Darder,es ESP,MF,30,38.0,34,"2,744",30.5,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,0.07,0.2,0.26,0.07,0.26,Matches,2024-2025,RCD Mallorca,38
Dominik Greif,sk SVK,GK,27,31.0,31,"2,790",31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,31
Martin Valjent,sk SVK,DF,28,31.0,31,"2,763",30.7,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2024-2025,RCD Mallorca,31
Samu Costa,pt POR,MF,23,32.0,31,"2,649",29.4,0.0,2.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,0.07,0.07,0.0,0.07,Matches,2024-2025,RCD Mallorca,32
Johan Mojica,co COL,DF,31,36.0,30,"2,755",30.6,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,2024-2025,RCD Mallorca,36
Pablo Maffeo,es ESP,DF,27,30.0,28,"2,368",26.3,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2024-2025,RCD Mallorca,30
Dani Rodríguez,es ESP,"MF,FW",36,37.0,26,"2,162",24.0,4.0,7.0,11.0,4.0,0.0,0.0,5.0,0.0,0.17,0.29,0.46,0.17,0.46,Matches,2024-2025,RCD Mallorca,37
Vedat Muriqi,xk KVX,FW,30,29.0,24,"2,058",22.9,7.0,2.0,9.0,5.0,2.0,3.0,1.0,2.0,0.31,0.09,0.39,0.22,0.31,Matches,2024-2025,RCD Mallorca,29
Omar Mascarell,gq EQG,MF,31,32.0,21,"1,992",22.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches,2024-2025,RCD Mallorca,32
Cyle Larin,ca CAN,FW,29,32.0,21,"1,764",19.6,7.0,2.0,9.0,6.0,1.0,1.0,4.0,0.0,0.36,0.1,0.46,0.31,0.41,Matches,2024-2025,RCD Mallorca,32
Copete,es ESP,DF,24,25.0,16,"1,528",17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,25
Manu Morlanes,es ESP,MF,25,23.0,15,"1,338",14.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,23
Roberto Navarro,es ESP,MF,22,23.0,15,"1,278",14.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2024-2025,RCD Mallorca,23
Takuma Asano,jp JPN,"MF,FW",29,21.0,13,"1,054",11.7,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.17,0.09,0.26,0.17,0.26,Matches,2024-2025,RCD Mallorca,21
Antonio Sánchez,es ESP,"MF,DF",27,33.0,12,"1,395",15.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,33
Mateu Morey,es ESP,DF,24,16.0,8,741,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,16
Leo Román,es ESP,GK,24,7.0,7,630,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,7
Toni Lato,es ESP,DF,26,14.0,7,621,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,14
Abdón Prats,es ESP,"FW,MF",31,24.0,3,456,5.1,2.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,0.39,0.0,0.39,0.2,0.2,Matches,2024-2025,RCD Mallorca,24
Marc Domenech,es ESP,"FW,MF",18,10.0,3,303,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,10
David López,es ESP,DF,21,2.0,2,169,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,2
Valery Fernández,es ESP,MF,24,18.0,1,309,3.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.58,0.0,0.58,0.58,0.58,Matches,2024-2025,RCD Mallorca,18
Chiquinho,pt POR,MF,24,8.0,1,146,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,8
Siebe Van Der Heyden,be BEL,DF,26,2.0,1,97,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,2
Javier Llabrés,es ESP,MF,21,1.0,1,57,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,1
Jan Salas,es ESP,MF,18,4.0,0,43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,4
Daniel Luna,co COL,MF,21,2.0,0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RCD Mallorca,2
Iván Cuéllar,es ESP,GK,40,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,RCD Mallorca,0
Pere Joan,es ESP,GK,22,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,RCD Mallorca,0
Sebastian Wade,es ESP,DF,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,RCD Mallorca,0
Sergio Herrera,es ESP,GK,31,37.0,37,"3,330",37.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,37
Jesús Areso,es ESP,DF,25,36.0,35,"3,079",34.2,0.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2024-2025,CA Osasuna,36
Catena,es ESP,DF,29,35.0,35,"3,074",34.2,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches,2024-2025,CA Osasuna,35
Aimar Oroz,es ESP,MF,22,37.0,35,"2,966",33.0,5.0,4.0,9.0,4.0,1.0,1.0,8.0,0.0,0.15,0.12,0.27,0.12,0.24,Matches,2024-2025,CA Osasuna,37
Lucas Torró,es ESP,MF,30,35.0,35,"2,957",32.9,3.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2024-2025,CA Osasuna,35
Ante Budimir,hr CRO,FW,33,38.0,34,"2,952",32.8,21.0,4.0,25.0,13.0,8.0,8.0,4.0,0.0,0.64,0.12,0.76,0.4,0.52,Matches,2024-2025,CA Osasuna,38
Enzo Boyomo,cm CMR,DF,22,34.0,33,"2,987",33.2,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2024-2025,CA Osasuna,34
Rubén García,es ESP,"FW,MF",31,36.0,30,"2,413",26.8,5.0,5.0,10.0,5.0,0.0,0.0,2.0,0.0,0.19,0.19,0.37,0.19,0.37,Matches,2024-2025,CA Osasuna,36
Jon Moncayola,es ESP,MF,26,32.0,26,"2,099",23.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,32
Bryan Zaragoza,es ESP,"MF,FW",22,27.0,22,"1,836",20.4,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,0.05,0.29,0.34,0.05,0.34,Matches,2024-2025,CA Osasuna,27
Abel Bretones,es ESP,"DF,MF",23,35.0,20,"2,074",23.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2024-2025,CA Osasuna,35
Juan Cruz Armada,es ESP,DF,32,25.0,19,"1,492",16.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,25
Jorge Herrando,es ESP,DF,23,18.0,15,"1,366",15.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2024-2025,CA Osasuna,18
Pablo Ibáñez,es ESP,MF,25,28.0,13,"1,294",14.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches,2024-2025,CA Osasuna,28
Rubén Peña,es ESP,"FW,DF",33,25.0,7,775,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,25
Moi Gómez,es ESP,"MF,FW",30,26.0,6,796,8.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,26
Raúl,es ESP,FW,23,32.0,5,750,8.3,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches,2024-2025,CA Osasuna,32
Iker Muñoz,es ESP,MF,21,23.0,4,610,6.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,2024-2025,CA Osasuna,23
Kike Barja,es ESP,"FW,MF",27,15.0,3,315,3.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches,2024-2025,CA Osasuna,15
José Arnaiz,es ESP,MF,29,15.0,1,133,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,15
Nacho Vidal,es ESP,DF,29,5.0,1,124,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,5
Aitor Fernández,es ESP,GK,33,1.0,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,1
Unai García,es ESP,DF,32,3.0,1,65,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,3
Iker Benito,es ESP,"FW,MF",21,2.0,0,37,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,2
Javi Martínez,es ESP,MF,24,1.0,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,CA Osasuna,1
Iñigo Arguibide,es ESP,FW,19,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CA Osasuna,0
Rafa Fernández,es ESP,GK,20,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CA Osasuna,0
Jon Fuentes,es ESP,MF,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CA Osasuna,0
Carlos Lumbreras,es ESP,FW,19,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CA Osasuna,0
Sixtus Ogbuehi,ng NGA,FW,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CA Osasuna,0
Asier Osambela,es ESP,MF,20,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CA Osasuna,0
Ismael Sierra,es ESP,DF,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CA Osasuna,0
Dimitrios Stamatakis,gr GRE,GK,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CA Osasuna,0
Pablo Valencia,es ESP,GK,23,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,CA Osasuna,0
Florian Lejeune,fr FRA,DF,33,37.0,37,"3,325",36.9,2.0,3.0,5.0,2.0,0.0,0.0,8.0,0.0,0.05,0.08,0.14,0.05,0.14,Matches,2024-2025,Rayo Vallecano,37
Andrei Ratiu,ro ROU,"DF,MF",26,35.0,34,"3,065",34.1,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,0.06,0.09,0.15,0.06,0.15,Matches,2024-2025,Rayo Vallecano,35
Augusto Batalla,ar ARG,GK,28,32.0,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Rayo Vallecano,32
Jorge de Frutos,es ESP,"MF,FW",27,36.0,30,"2,495",27.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,1.0,0.22,0.11,0.32,0.22,0.32,Matches,2024-2025,Rayo Vallecano,36
Pep Chavarría,es ESP,DF,26,34.0,28,"2,585",28.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2024-2025,Rayo Vallecano,34
Álvaro García,es ESP,"MF,FW",31,36.0,28,"2,559",28.4,4.0,5.0,9.0,4.0,0.0,0.0,4.0,0.0,0.14,0.18,0.32,0.14,0.32,Matches,2024-2025,Rayo Vallecano,36
Isaac Palazón Camacho,es ESP,"MF,FW",29,35.0,25,"2,162",24.0,4.0,4.0,8.0,4.0,0.0,0.0,5.0,0.0,0.17,0.17,0.33,0.17,0.33,Matches,2024-2025,Rayo Vallecano,35
