Player,Team,Season,Position,Age,Matches_Played,Minutes_Played,Goals,Assists,Overall_Rating
Yago Santiago,Elche CF,2025-2026,MF,23-010,9.0,281,0.0,0.0,43.1
Gonzalo Villar,Elche CF,2025-2026,MF,28-033,6.0,237,0.0,0.0,43.1
Ali Houary,Elche CF,2025-2026,MF,20-263,2.0,123,0.0,0.0,43.1
Federico Redondo,Elche CF,2025-2026,MF,23-097,11.0,179,0.0,0.0,43.1
Bambo Diaby,Elche CF,2025-2026,DF,28-129,4.0,102,0.0,0.0,43.1
Adam Boayar,Elche CF,2025-2026,MF,20-194,7.0,104,1.0,0.0,43.1
Mourad El Ghezouani,Elche CF,2025-2026,FW,27-333,2.0,50,0.0,0.0,43.1
Jairo Izquierdo,Elche CF,2025-2026,"DF,FW",32-185,1.0,24,0.0,0.0,43.1
Álex Sánchez,Elche CF,2025-2026,FW,20-051,1.0,6,0.0,1.0,43.2
Daniel Ballesteros,Elche CF,2025-2026,FW,22-289,0.0,,,,43.1
David Delgado,Elche CF,2025-2026,DF,18-114,0.0,,,,43.1
Pablo Felipe,Elche CF,2025-2026,DF,20-310,0.0,,,,43.1
Alex Herráiz,Elche CF,2025-2026,MF,,0.0,,,,43.1
Alejandro Iturbe,Elche CF,2025-2026,GK,22-235,0.0,,,,43.1
Antonio Martínez,Elche CF,2025-2026,MF,20-016,0.0,,,,43.1
Albert Niculaesei,Elche CF,2025-2026,DF,18-030,0.0,,,,43.1
Nico Salvador,Elche CF,2025-2026,DF,20-238,0.0,,,,43.1
Bema Sina,Elche CF,2025-2026,DF,23-018,0.0,,,,43.1
Marko Dmitrović,RCD Espanyol,2025-2026,GK,34-091,,"2,880",0.0,0.0,43.1
Leandro Cabrera,RCD Espanyol,2025-2026,DF,34-312,,"2,790",3.0,0.0,49.4
Carlos Romero,RCD Espanyol,2025-2026,DF,24-178,,"2,667",5.0,2.0,55.8
Omar El Hilali,RCD Espanyol,2025-2026,DF,22-225,,"2,364",0.0,2.0,43.3
Edu Expósito,RCD Espanyol,2025-2026,MF,29-267,,"2,055",1.0,6.0,49.4
Pol Lozano,RCD Espanyol,2025-2026,MF,26-201,,"2,002",2.0,1.0,46.6
Tyrhys Dolan,RCD Espanyol,2025-2026,MF,24-118,,"2,100",1.0,4.0,46.8
Urko González,RCD Espanyol,2025-2026,MF,25-036,,"2,090",0.0,1.0,42.8
Pere Milla,RCD Espanyol,2025-2026,"MF,FW",33-214,,"1,739",6.0,0.0,54.9
Roberto Férnandez,RCD Espanyol,2025-2026,FW,23-296,,"2,019",6.0,2.0,57.5
Fernando Calero,RCD Espanyol,2025-2026,DF,30-223,,"1,761",0.0,0.0,42.1
Kiké,RCD Espanyol,2025-2026,FW,36-151,,"1,530",6.0,1.0,56.5
Clemens Riedel,RCD Espanyol,2025-2026,DF,22-280,,"1,216",0.0,1.0,42.8
Jofre,RCD Espanyol,2025-2026,MF,24-312,,797,1.0,0.0,43.1
Ramón Terrats,RCD Espanyol,2025-2026,MF,25-189,,775,1.0,1.0,43.1
Javi Puado,RCD Espanyol,2025-2026,"MF,FW",27-335,,674,2.0,0.0,43.1
Cyril Ngonge,RCD Espanyol,2025-2026,MF,25-334,,367,0.0,2.0,43.1
Charles Pickel,RCD Espanyol,2025-2026,MF,28-345,,609,1.0,0.0,43.1
Rubén,RCD Espanyol,2025-2026,DF,25-080,,532,0.0,1.0,43.1
José Salinas,RCD Espanyol,2025-2026,DF,25-207,,241,0.0,0.0,43.1
Miguel Ángel Rubio,RCD Espanyol,2025-2026,DF,28-045,,206,1.0,0.0,43.1
Antoniu,RCD Espanyol,2025-2026,MF,23-232,,115,0.0,0.0,43.1
Luca Koleosho,RCD Espanyol,2025-2026,MF,21-222,,63,0.0,0.0,43.1
Rafael Bauza,RCD Espanyol,2025-2026,MF,21-085,,,,,43.1
Lluc Castell,RCD Espanyol,2025-2026,FW,19-218,,,,,43.1
Fortuño,RCD Espanyol,2025-2026,GK,24-202,,,,,43.1
Ferran Gómez,RCD Espanyol,2025-2026,MF,20-033,,,,,43.1
Javier Hernández,RCD Espanyol,2025-2026,MF,22-085,,,,,43.1
Roger Hinojo,RCD Espanyol,2025-2026,DF,21-063,,,,,43.1
Miguel Londoño,RCD Espanyol,2025-2026,MF,19-114,,,,,43.1
Pablo Ramon,RCD Espanyol,2025-2026,DF,24-299,,,,,43.1
Llorenç Serred,RCD Espanyol,2025-2026,GK,20-233,,,,,43.1
Adama Timera,RCD Espanyol,2025-2026,DF,21-016,,,,,43.1
Pol Tristán,RCD Espanyol,2025-2026,GK,24-038,,,,,43.1
David Soria,Getafe CF,2025-2026,GK,33-021,,"2,880",0.0,0.0,42.6
Luis Milla,Getafe CF,2025-2026,MF,31-200,,"2,743",0.0,9.0,49.4
Mauro Arambarri,Getafe CF,2025-2026,MF,30-207,,"2,719",6.0,2.0,56.1
Iglesias,Getafe CF,2025-2026,"DF,MF",27-296,,"2,650",1.0,2.0,46.4
Domingos Duarte,Getafe CF,2025-2026,DF,31-046,,"2,402",1.0,1.0,44.2
Djené,Getafe CF,2025-2026,"DF,MF",34-115,,"2,305",0.0,0.0,40.0
Kiko Femenía,Getafe CF,2025-2026,"DF,MF",35-082,,"1,918",1.0,1.0,45.0
Mario Martín,Getafe CF,2025-2026,"MF,FW",22-051,,"1,728",2.0,1.0,46.6
Adrián Liso,Getafe CF,2025-2026,"FW,MF",21-023,,"1,576",3.0,0.0,48.0
Diego Rico,Getafe CF,2025-2026,DF,33-061,,"1,713",0.0,0.0,42.1
Abdel Abqar,Getafe CF,2025-2026,DF,27-046,,"1,151",0.0,2.0,42.1
Martin Satriano,Getafe CF,2025-2026,"FW,MF",25-064,,"1,153",4.0,1.0,52.5
Borja Mayoral,Getafe CF,2025-2026,FW,29-020,,"1,041",4.0,1.0,53.5
Luis Vázquez,Getafe CF,2025-2026,FW,25-001,,916,3.0,0.0,43.1
Zaid Romero,Getafe CF,2025-2026,DF,26-131,,989,0.0,0.0,43.1
Álex Sancris,Getafe CF,2025-2026,"MF,FW",29-097,,630,0.0,1.0,43.1
Javier Muñoz,Getafe CF,2025-2026,"MF,FW",31-056,,512,0.0,0.0,43.1
Davinchi,Getafe CF,2025-2026,DF,18-191,,450,0.0,0.0,43.1
Allan Nyom,Getafe CF,2025-2026,DF,37-350,,300,0.0,0.0,43.1
Sebastián Boselli,Getafe CF,2025-2026,DF,22-142,,315,0.0,0.0,43.1
Christantus Uche,Getafe CF,2025-2026,FW,22-341,,270,1.0,1.0,43.1
Coba da Costa,Getafe CF,2025-2026,MF,23-273,,348,0.0,0.0,43.1
Abu Kamara,Getafe CF,2025-2026,MF,22-278,,201,0.0,0.0,43.1
Ismael Bekhoucha,Getafe CF,2025-2026,DF,21-156,,122,0.0,1.0,43.1
Alejandro Mestanza,Getafe CF,2025-2026,MF,21-139,,71,0.0,0.0,43.1
Juanmi,Getafe CF,2025-2026,"FW,MF",32-340,,179,1.0,0.0,43.1
Veljko Birmančević,Getafe CF,2025-2026,"FW,MF",28-051,,91,0.0,0.0,43.1
Yvan Neyou,Getafe CF,2025-2026,MF,29-112,,67,0.0,0.0,43.1
Jorge Montes,Getafe CF,2025-2026,DF,22-050,,27,0.0,0.0,43.1
Joselu Pérez,Getafe CF,2025-2026,DF,22-044,,22,0.0,0.0,43.1
Alex Sola,Getafe CF,2025-2026,"DF,FW",26-320,,13,0.0,0.0,43.1
Hugo Solozabal,Getafe CF,2025-2026,MF,23-077,,11,0.0,0.0,43.1
Mykyta Alexandrov,Getafe CF,2025-2026,MF,21-181,,,,,43.1
Jorge Benito,Getafe CF,2025-2026,GK,20-114,,,,,43.1
Diego Ferrer,Getafe CF,2025-2026,GK,19-008,,,,,43.1
Peter González,Getafe CF,2025-2026,MF,23-274,,,,,43.1
Lucas Laso,Getafe CF,2025-2026,DF,23-111,,,,,43.1
